2026-09-03 11:10:16,535 INFO    tuneps.notify: E-mail envoyé à bzmed3@gmail.com
2026-09-03 11:41:51,376 INFO    tuneps: NOUVEAU [review] S20260800535 — Conception et impression du huitième rapport national relatif à la mise en œuvre (printing, طباعه)
2026-09-03 11:41:52,560 INFO    tuneps: NOUVEAU [review] S20260800576 — Conception et production d’un spot publicitaire sur les Fournitures scolaires et (supports publicitaires~spot publicitaire, support publicitaire~spot publicitaire, اشهاريه~اشهاري)
2026-09-03 11:41:55,824 INFO    tuneps: NOUVEAU [review] S20260800730 — اقتناء الة نسخ و طباعة للادارة الجهوية للصحة بالقيروان (طباعه, اقتناء)
2026-09-03 11:42:00,255 INFO    tuneps: NOUVEAU [review] S20260800951 — Fourniture et Pose des Panneaux Signalétique. (signaletique, fourniture et pose)
2026-09-03 11:42:01,660 INFO    tuneps: NOUVEAU [review] S20260801022 — Aquisition encre pour imprimante et photocopieur (طباعه, اقتناء)
2026-09-03 11:42:02,022 INFO    tuneps: NOUVEAU [high] S20260801040 — العلم التونسي (علم)
2026-09-03 11:42:07,819 INFO    tuneps: NOUVEAU [review] S20260801340 — Acquisition d'ordinateurs portables  et d'appareils de reproduction (imprimantes (طباعه, manifestation, acquisition, festival, اقتناء)
2026-09-03 11:42:08,056 INFO    tuneps: NOUVEAU [review] S20260801361 — Acquisition des cartouches pour imprimantes et photocopieurs (طباعه, acquisition, اقتناء)
2026-09-03 11:42:09,592 INFO    tuneps: NOUVEAU [high] S20260801504 — التزود بلوازم الزينة لسنة 2026 للمرة الثانية (لوازم الزينه, زينه)
2026-09-03 11:42:10,260 INFO    tuneps: NOUVEAU [high] S20260801537 — إقتناء جوائز في إطار يوم العلم الجهوي بالمنستير (علم, اقتناء)
2026-09-03 11:42:12,025 INFO    tuneps: NOUVEAU [high] S20260801761 — كتابة لافتات إشهارية لفائدة بلدية بني مطير لسنة 2026 (لافتات, اشهاريه)
2026-09-03 11:42:12,297 INFO    tuneps: NOUVEAU [review] S20260801770 — la sélection d'une agence qui va assurer la fourniture des supports de communica (supports de communication, support de communication~supports de communication)
2026-09-03 11:42:14,040 INFO    tuneps: NOUVEAU [high] S20260801844 — ACQUISITION DES OUTILD D'électicité au profit de gouvernorat de SOUSSE 2026 (لوازم الزينه~لوازم الصيانه, acquisition, اقتناء)
2026-09-03 11:42:14,607 INFO    tuneps: NOUVEAU [review] S20260801862 — l’acquisition de cartouches d’encre pour photocopieurs et imprimantes. (طباعه, acquisition, اقتناء)
2026-09-03 11:42:14,877 INFO    tuneps: NOUVEAU [review] S20260801872 — اقتناء حبر الطباعة و حبر النسخ (قسط عدد 2) للمرة الثانية (طباعه, اقتناء)
2026-09-03 11:42:16,665 INFO    tuneps: NOUVEAU [high] S20260801954 — banderoles (banderoles, banderole)
2026-09-03 11:42:17,923 INFO    tuneps: NOUVEAU [review] S20260802012 — IMPRESSION DOUMENTS (printing, طباعه)
2026-09-03 11:42:18,634 INFO    tuneps: NOUVEAU [review] S20260802056 — Confection et installation des plaques de signalisation pour l'hôpital Bekalta (لافتات)
2026-09-03 11:42:18,768 INFO    tuneps: NOUVEAU [high] S20260802069 — Aquisition des drapeaux 2026 (drapeaux, drapeau)
2026-09-03 11:42:23,075 INFO    tuneps: NOUVEAU [review] S20260802288 — اقتناء حبر طباعة (طباعه, اقتناء)
2026-09-03 11:42:23,329 INFO    tuneps: NOUVEAU [review] S20260802323 — اقتناء لافتات توجيهية (لافتات, اقتناء)
2026-09-03 11:42:23,341 INFO    tuneps: NOUVEAU [high] S20260802324 — Acquisition  des produit de pavoisement pour l'annee 2026 (اعلام الزينه~اعلام زينه, pavoisement, اعلام زينه, اعلام, زينه, acquisition, اقتناء)
2026-09-03 11:42:25,433 INFO    tuneps: NOUVEAU [review] S20260802459 — achat toners d'impression et réparation des photocopieurs (طباعه, اقتناء, achat)
2026-09-03 11:42:27,513 INFO    tuneps: NOUVEAU [high] S20260802624 — استشارة اقتناء رايات واعلام وطنية لسنة 2026 (رايات, اعلام, اقتناء)
2026-09-03 11:42:29,190 INFO    tuneps: NOUVEAU [high] S20260802729 — أشغال تركيز ساحة علم بمركز الوسيط للصحّة بطريق المطار صفاقس (علم)
2026-09-03 11:42:32,086 INFO    tuneps: NOUVEAU [high] S20260802852 — إقتنـــــــــــــــاء أعــــــــــــــــــــلام زينـــــــــــــــــــــة (اعلام الزينه~اعلام زينه, اعلام زينه, اعلام, زينه, اقتناء)
2026-09-03 11:42:34,555 INFO    tuneps: NOUVEAU [review] S20260802976 — achat toner pour imprimante (طباعه, اقتناء, achat)
2026-09-03 11:42:37,737 INFO    tuneps: NOUVEAU [high] S20260803144 — CONSULTATION POUR ACQUISITION DES DRAPEAUX NATIONAUX (drapeaux, drapeau, acquisition)
2026-09-03 11:42:40,770 INFO    tuneps: NOUVEAU [high] S20260803293 — cquisition des drapeaux au profit du siege du gouvernorat de sousse (drapeaux, drapeau, اعلام, اقتناء)
2026-09-03 11:42:40,937 INFO    tuneps: NOUVEAU [high] S20260803310 — اقتناء لافتات اشهارية feather flag (feather flag, لافتات, flags, flag, اشهاريه, اقتناء)
2026-09-03 11:42:41,669 INFO    tuneps: NOUVEAU [review] S20260803366 — اقتناء حبر طباعة (طباعه, اقتناء)
2026-09-03 11:42:42,008 INFO    tuneps: NOUVEAU [high] S20260803398 — ACHAT DRAPEAUX DE LA TUNISIE TAB 193 (drapeaux, drapeau, achat)
2026-09-03 11:42:42,864 INFO    tuneps: NOUVEAU [high] S20260803468 — طلب أثمان عدد 43/2026 اقتناء جوائز يوم العلم لفائدة تلاميذ التعليم الابتدائي و ا (علم, اقتناء)
2026-09-03 11:42:42,895 INFO    tuneps: NOUVEAU [high] S20260803471 — acquisition des drapeaux (drapeaux, drapeau, علم, acquisition, اقتناء)
2026-09-03 11:42:43,465 INFO    tuneps: NOUVEAU [high] S20260803539 — Installation de deux ralentisseurs de vitesse avec installation de panneaux « Zo (لافتات, اشهاريه)
2026-09-03 11:42:43,668 INFO    tuneps: NOUVEAU [high] S20260803550 — إقتناء أعلام الجمهورية  التونسية لفائدة المندوبية الجهوية للتربية  بالمنستير (اعلام, اقتناء)
2026-09-03 11:42:43,892 INFO    tuneps: NOUVEAU [high] S20260803566 — Fourniture et installation d’une hampe porte-drapeau extérieure et aménagement d (porte drapeau, drapeaux, drapeau, hampes, hampe, علم)
2026-09-03 11:42:44,543 INFO    tuneps: NOUVEAU [review] S20260803686 — اقتناء خراطيش حبر آلات طباعة (طباعه, اقتناء)
2026-09-03 11:42:47,870 INFO    tuneps: NOUVEAU [high] S20260803820 — أشغال تزويق واجهة مبنى إداري بالقصبة بمادة الأليكوبند (تزويق)
2026-09-03 11:42:48,682 INFO    tuneps: NOUVEAU [high] S20260803857 — ACQUISITION DES DRAPEAUX  ET DES FANIONS (drapeaux, fanions, drapeau, fanion, acquisition)
2026-09-03 11:42:51,146 INFO    tuneps: NOUVEAU [review] S20260803965 — CONSULTATION D'ACHETER DES TONNERS DES IMPRIMANTES (طباعه, اقتناء)
2026-09-03 11:42:51,204 INFO    tuneps: NOUVEAU [high] S20260803972 — اقتناء رايات (رايات, اقتناء)
2026-09-03 11:42:51,736 INFO    tuneps: NOUVEAU [review] S20260804020 — Consultation nationale n° 13/2026  Acquisition de bons pour vêtements de travail (طباعه, acquisition, اقتناء)
2026-09-03 11:42:52,780 INFO    tuneps: NOUVEAU [high] S20260804065 — fourniture des cadeaux aux élevés lauréats lors de la journée régionale de la sc (علم, اقتناء)
2026-09-03 11:42:58,634 INFO    tuneps: NOUVEAU [high] S20260804324 — اقتناء أعلام للزينة (اعلام الزينه~اعلام للزينه, اعلام زينه~اعلام للزينه, اعلام, زينه, اقتناء)
2026-09-03 11:42:58,947 INFO    tuneps: 69 avis correspondants, dont 69 nouveaux
2026-09-03 11:42:58,949 INFO    tuneps: Rapport écrit : reports/tuneps_2026-09-03_1142.html
2026-09-03 12:31:17,201 INFO    tuneps: Analyse TUNEPS — mode=sweep, fenêtre=2 mois
2026-09-03 12:31:21,434 INFO    tuneps: 4807 avis récupérés
2026-09-03 12:33:26,860 INFO    tuneps: 69 avis correspondants, dont 0 nouveaux
2026-09-03 12:33:26,864 INFO    tuneps: Rapport écrit : reports/tuneps_2026-09-03_1233.html
2026-09-03 12:33:29,797 INFO    tuneps.notify: E-mail envoyé à bzmed3@gmail.com
2026-09-03 17:33:17,192 INFO    tuneps: Analyse TUNEPS — mode=sweep, fenêtre=2 mois
2026-09-03 17:33:22,204 INFO    tuneps: 4913 avis récupérés
2026-09-03 17:33:24,451 INFO    tuneps: NOUVEAU [high] 20260900610 — طلب عروض وفق الإجراءات المبسطة عدد 2026/03 
يتعلّق بتهيئة وتزويق المطعم الجماعي  (تزويق)
2026-09-03 17:33:38,395 INFO    tuneps: NOUVEAU [review] S20260900752 — Acquisition Imprimantes pour la direction du port de Zarzis (طباعه, acquisition, اقتناء)
2026-09-03 17:33:38,945 INFO    tuneps: NOUVEAU [high] S20260900770 — Acquisition drapeau tunisien sur socle grand modele (drapeaux, drapeau, acquisition)
2026-09-03 17:33:39,795 INFO    tuneps: NOUVEAU [high] S20260900793 — DRAPEAU TUNISIE 2M/1.5M (drapeaux, drapeau)
2026-09-03 17:35:35,090 INFO    tuneps: 73 avis correspondants, dont 4 nouveaux
2026-09-03 17:35:35,092 INFO    tuneps: Rapport écrit : reports/tuneps_2026-09-03_1735.html
2026-09-03 17:35:37,567 INFO    tuneps.notify: E-mail envoyé à bzmed3@gmail.com
2026-09-04 07:31:17,229 INFO    tuneps: Analyse TUNEPS — mode=sweep, fenêtre=2 mois
2026-09-04 07:31:21,444 INFO    tuneps: 4920 avis récupérés
2026-09-04 07:33:28,400 INFO    tuneps: 73 avis correspondants, dont 0 nouveaux
2026-09-04 07:33:28,400 INFO    tuneps: Rapport écrit : reports/tuneps_2026-09-04_0733.html
2026-09-04 12:35:17,220 INFO    tuneps: Analyse TUNEPS — mode=sweep, fenêtre=2 mois
2026-09-04 12:35:22,175 INFO    tuneps: 5059 avis récupérés
2026-09-04 12:35:40,672 INFO    tuneps: NOUVEAU [high] S20260900986 — Acquistion des drapeaux nationaux (drapeaux, drapeau, اعلام, اقتناء)
2026-09-04 12:35:41,466 INFO    tuneps: NOUVEAU [high] S20260901036 — achat drapeaux Tunisie (drapeaux, drapeau, اعلام, اقتناء, achat)
2026-09-04 12:37:32,082 INFO    tuneps: 75 avis correspondants, dont 2 nouveaux
2026-09-04 12:37:32,084 INFO    tuneps: Rapport écrit : reports/tuneps_2026-09-04_1237.html
2026-09-04 12:37:38,430 INFO    tuneps.notify: E-mail envoyé à bzmed3@gmail.com
2026-09-04 17:32:17,196 INFO    tuneps: Analyse TUNEPS — mode=sweep, fenêtre=2 mois
2026-09-04 17:32:23,296 INFO    tuneps: 5176 avis récupérés
2026-09-04 17:32:44,904 INFO    tuneps: NOUVEAU [review] S20260901127 — Goodies (اشهاريه, اقتناء)
2026-09-04 17:32:45,170 INFO    tuneps: NOUVEAU [review] S20260901150 — Acquisition des articles promotionnels (اشهاريه, acquisition, اقتناء)
2026-09-04 17:34:34,039 INFO    tuneps: 77 avis correspondants, dont 2 nouveaux
2026-09-04 17:34:34,042 INFO    tuneps: Rapport écrit : reports/tuneps_2026-09-04_1734.html
2026-09-04 17:34:36,757 INFO    tuneps.notify: E-mail envoyé à bzmed3@gmail.com
2026-09-05 02:53:14,235 INFO    tuneps.webapp: Suivi : consultation:S20260900752:00 -> deleted
2026-09-05 02:53:19,532 INFO    tuneps.webapp: Suivi : consultation:S20260804020:00 -> deleted
2026-09-05 02:53:37,528 INFO    tuneps.webapp: Suivi : consultation:S20260800185:00 -> done
2026-09-05 02:56:24,090 INFO    tuneps.webapp: Analyse web : 5190 avis, 77 correspondances, 0 nouveautés
2026-09-05 03:12:49,682 INFO    tuneps.webapp: Suivi : consultation:S20260901127:00 -> deleted
2026-09-05 03:13:15,584 INFO    tuneps.webapp: Suivi : consultation:S20260900280:00 -> deleted
2026-09-05 03:13:22,823 INFO    tuneps.webapp: Suivi : consultation:S20260900533:00 -> deleted
2026-09-05 03:13:33,797 INFO    tuneps.webapp: Suivi : ao:20260800284:00 -> deleted
2026-09-05 13:20:23,037 INFO    tuneps: Analyse TUNEPS — mode=sweep, fenêtre=2 mois
2026-09-05 13:20:23,038 WARNING tuneps.client: Échec requête (1/3) : HTTPSConnectionPool(host='www.tuneps.tn', port=443): Max retries exceeded with url: /api2/portail/bid/master/data (Caused by NameResolutionError("HTTPSConnection(host='www.tuneps.tn', port=443): Failed to resolve 'www.tuneps.tn' ([Errno -3] Temporary failure in name resolution)")) — nouvelle tentative dans 2s
2026-09-05 13:20:25,041 WARNING tuneps.client: Échec requête (2/3) : HTTPSConnectionPool(host='www.tuneps.tn', port=443): Max retries exceeded with url: /api2/portail/bid/master/data (Caused by NameResolutionError("HTTPSConnection(host='www.tuneps.tn', port=443): Failed to resolve 'www.tuneps.tn' ([Errno -3] Temporary failure in name resolution)")) — nouvelle tentative dans 4s
2026-09-05 13:20:34,521 INFO    tuneps: 5245 avis récupérés
2026-09-05 13:21:00,457 INFO    tuneps: NOUVEAU [review] S20260901261 — اقتناء اجهزة طباعة لفائدة مصلحة الاستقبال و القبول و نقل المرضى  بالمستشفى الجهو (طباعه, اقتناء)
2026-09-05 13:21:00,545 INFO    tuneps: NOUVEAU [high] S20260901268 — DRAPEAU DE LA TUNISIE DE DIMENSION 1.5 M / 1 M. (drapeaux, drapeau)
2026-09-05 13:22:43,310 INFO    tuneps: 79 avis correspondants, dont 2 nouveaux
2026-09-05 13:22:43,313 INFO    tuneps: Rapport écrit : reports/tuneps_2026-09-05_1322.html
2026-09-05 13:22:45,363 INFO    tuneps.notify: E-mail envoyé à bzmed3@gmail.com
2026-09-05 14:36:30,700 INFO    tuneps.webapp: Suivi : consultation:S20260802012:00 -> deleted
2026-09-05 14:37:25,880 INFO    tuneps.webapp: Suivi : consultation:S20260803820:00 -> deleted
2026-09-05 14:37:36,718 INFO    tuneps.webapp: Suivi : consultation:S20260900770:00 -> done
2026-09-05 14:37:42,162 INFO    tuneps.webapp: Suivi : consultation:S20260900770:00 -> pending
2026-09-05 14:38:08,581 INFO    tuneps.webapp: Suivi : ao:20260900610:00 -> deleted
2026-09-05 14:42:04,314 INFO    tuneps.webapp: Analyse web : 5249 avis, 79 correspondances, 0 nouveautés
2026-09-05 17:37:17,213 INFO    tuneps: Analyse TUNEPS — mode=sweep, fenêtre=2 mois
2026-09-05 17:37:36,664 INFO    tuneps: 5251 avis récupérés
2026-09-05 17:39:57,603 INFO    tuneps: 79 avis correspondants, dont 0 nouveaux
2026-09-05 17:39:57,604 INFO    tuneps: Rapport écrit : reports/tuneps_2026-09-05_1739.html
